product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,sq_ft,data_src,date
4834,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/ivory,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Ivory,,77355,Magnolia,"299,950","2,216",No Plan,19/05/2024 10:01:00 PM
8767,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/quartz,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Quartz,,77355,Magnolia,"259,950","1,660",No Plan,19/05/2024 10:01:00 PM
2746,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/forsythia-32cd1bc6-7f4e-492f-8189-808c415b066a,Home Builder,,K.Hovnanian Homes,Elyria,OH,Forsythia,,44035,Elyria,"305,990","1,799",No Plan,19/05/2024 10:01:00 PM
3973,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/goldenrod-ea1750f2-5305-44da-827c-444d4bc77cf3,Home Builder,,K.Hovnanian Homes,Elyria,OH,Goldenrod,,44035,Elyria,"318,990","1,762",No Plan,19/05/2024 10:01:00 PM
6124,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/bluebell-80afe201-ffee-4975-b1ed-ea6776f6c97c,Home Builder,,K.Hovnanian Homes,Elyria,OH,Bluebell,,44035,Elyria,"271,990","1,439",No Plan,19/05/2024 10:01:00 PM
3080,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/daffodil,Home Builder,,K.Hovnanian Homes,Elyria,OH,Daffodil,,44035,Elyria,"311,990","1,628",No Plan,19/05/2024 10:01:00 PM
1231,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/oleander,Home Builder,,K.Hovnanian Homes,Elyria,OH,Oleander,,44035,Elyria,"318,990","2,080",No Plan,19/05/2024 10:01:00 PM
3874,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/water-lily,Home Builder,,K.Hovnanian Homes,Elyria,OH,Water Lily,,44035,Elyria,"339,990","2,486",No Plan,19/05/2024 10:01:00 PM
9464,Hovnanian,https://www.khov.com/find-new-homes/ohio/jackson-township/44646/k-hovnanian-homes/heritage-park/asheville,Home Builder,,K.Hovnanian Homes,Jackson-Township,OH,Asheville,,44646,Jackson-Township,"399,990","1,778",No Plan,19/05/2024 10:01:00 PM
2048,Hovnanian,https://www.khov.com/find-new-homes/ohio/jackson-township/44646/k-hovnanian-homes/heritage-park/boise,Home Builder,,K.Hovnanian Homes,Jackson-Township,OH,Boise,,44646,Jackson-Township,"422,990","1,948",No Plan,19/05/2024 10:01:00 PM
1358,Hovnanian,https://www.khov.com/find-new-homes/ohio/jackson-township/44646/k-hovnanian-homes/heritage-park/tacoma,Home Builder,,K.Hovnanian Homes,Jackson-Township,OH,Tacoma,,44646,Jackson-Township,"438,990","2,013",No Plan,19/05/2024 10:01:00 PM
9167,Hovnanian,https://www.khov.com/find-new-homes/ohio/jackson-township/44646/k-hovnanian-homes/heritage-park/pasadena,Home Builder,,K.Hovnanian Homes,Jackson-Township,OH,Pasadena,,44646,Jackson-Township,"447,990","2,179",No Plan,19/05/2024 10:01:00 PM
7533,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/pasadena,Home Builder,,K.Hovnanian Homes,Sherman,TX,Pasadena,,75092,Sherman,"391,900","2,171",No Plan,19/05/2024 10:01:00 PM
2903,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/asheville,Home Builder,,K.Hovnanian Homes,Sherman,TX,Asheville,,75092,Sherman,"358,900","1,861",No Plan,19/05/2024 10:01:00 PM
7922,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/boise,Home Builder,,K.Hovnanian Homes,Sherman,TX,Boise,,75092,Sherman,"371,900","1,999",No Plan,19/05/2024 10:01:00 PM
6345,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/santa-fe,Home Builder,,K.Hovnanian Homes,Sherman,TX,Santa Fe,,75092,Sherman,"457,900","3,164",No Plan,19/05/2024 10:01:00 PM
