product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,latitude,longitude,price,sq_ft,data_src,date
6595,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/rochester,Home Builder,,K.Hovnanian Homes,Bellville,TX,Rochester,,77418,Bellville,29.922712,-96.247259,"306,990","1,955",No Plan,29/05/2024 11:52:08 PM
7415,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/jackie-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Jackie II,,77418,Bellville,29.922712,-96.247259,"274,990","1,671",No Plan,29/05/2024 11:52:08 PM
1894,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/leopold,Home Builder,,K.Hovnanian Homes,Bellville,TX,Leopold,,77418,Bellville,29.922712,-96.247259,"266,990","1,610",No Plan,29/05/2024 11:52:08 PM
5682,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/wilmington-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Wilmington II,,77418,Bellville,29.922712,-96.247259,"307,990","2,208",No Plan,29/05/2024 11:52:08 PM
6841,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/lancaster-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Lancaster II,,77418,Bellville,29.922712,-96.247259,"286,990","1,905",No Plan,29/05/2024 11:52:08 PM
1083,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/darlington-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Darlington II,,77418,Bellville,29.922712,-96.247259,"300,990","1,990",No Plan,29/05/2024 11:52:08 PM
6592,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/bluebell,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Bluebell,,44081,Perry-Village,41.75212,-81.13271,"278,990","1,439",No Plan,29/05/2024 11:52:08 PM
7219,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/forsythia,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Forsythia,,44081,Perry-Village,41.75212,-81.13271,"308,990","1,799",No Plan,29/05/2024 11:52:08 PM
1064,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/daffodil,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Daffodil,,44081,Perry-Village,41.75212,-81.13271,"320,990","1,628",No Plan,29/05/2024 11:52:08 PM
2529,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/oleander,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Oleander,,44081,Perry-Village,41.75212,-81.13271,"326,990","2,080",No Plan,29/05/2024 11:52:08 PM
9734,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/water-lily,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Water Lily,,44081,Perry-Village,41.75212,-81.13271,"346,990","2,486",No Plan,29/05/2024 11:52:08 PM
4798,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/hanover,Home Builder,,K.Hovnanian Homes,Green,OH,Hanover,,44685,Green,40.96968,-81.47608,"350,990","2,258",No Plan,29/05/2024 11:52:08 PM
5472,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/irving,Home Builder,,K.Hovnanian Homes,Green,OH,Irving,,44685,Green,40.96968,-81.47608,"320,990","1,854",No Plan,29/05/2024 11:52:08 PM
5491,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/eastwood,Home Builder,,K.Hovnanian Homes,Green,OH,Eastwood,,44685,Green,40.96968,-81.47608,"340,990","1,780",No Plan,29/05/2024 11:52:08 PM
2779,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/eastwood-loft,Home Builder,,K.Hovnanian Homes,Green,OH,Eastwood Loft,,44685,Green,40.96968,-81.47608,"385,990","2,427",No Plan,29/05/2024 11:52:08 PM
8785,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/hanover-with-morning-room,Home Builder,,K.Hovnanian Homes,Green,OH,Hanover with Morning Room,,44685,Green,40.96968,-81.47608,"370,990","2,462",No Plan,29/05/2024 11:52:08 PM
5276,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/appleton,Home Builder,,K.Hovnanian Homes,Green,OH,Appleton,,44685,Green,40.96968,-81.47608,"354,990","2,297",No Plan,29/05/2024 11:52:08 PM
2555,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/brantwood,Home Builder,,K.Hovnanian Homes,Green,OH,Brantwood,,44685,Green,40.96968,-81.47608,"379,990","2,757",No Plan,29/05/2024 11:52:08 PM
6790,Hovnanian,https://www.khov.com/find-new-homes/maryland/frederick/21702/k-hovnanian-homes/gambrill-glenn/long-beach,Home Builder,,K.Hovnanian Homes,Frederick,MD,Long Beach,,21702,Frederick,39.432339,-77.461885,"404,990","1,600",No Plan,29/05/2024 11:52:08 PM
7451,Hovnanian,https://www.khov.com/find-new-homes/maryland/frederick/21702/k-hovnanian-homes/gambrill-glenn/cape-may,Home Builder,,K.Hovnanian Homes,Frederick,MD,Cape May,,21702,Frederick,39.432339,-77.461885,"449,990","2,011",No Plan,29/05/2024 11:52:08 PM
5266,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/chase,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Chase,,77355,Magnolia,30.190347,-95.744606,"305,950","2,241",No Plan,29/05/2024 11:52:08 PM
3095,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/cullman-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Cullman II,,77355,Magnolia,30.190347,-95.744606,"269,950","1,787",No Plan,29/05/2024 11:52:08 PM
