product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,date
9307,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/bluebell-80afe201-ffee-4975-b1ed-ea6776f6c97c,Home Builder,,K.Hovnanian Homes,Elyria,OH,Bluebell,,44035,Elyria,"269,990",09/05/2024 10:34:28 PM
9222,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/daffodil,Home Builder,,K.Hovnanian Homes,Elyria,OH,Daffodil,,44035,Elyria,"310,990",09/05/2024 10:34:28 PM
6371,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/oleander,Home Builder,,K.Hovnanian Homes,Elyria,OH,Oleander,,44035,Elyria,"318,990",09/05/2024 10:34:28 PM
4635,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/water-lily,Home Builder,,K.Hovnanian Homes,Elyria,OH,Water Lily,,44035,Elyria,"338,990",09/05/2024 10:34:28 PM
1133,Hovnanian,https://www.khov.com/find-new-homes/ohio/jackson-township/44646/k-hovnanian-homes/heritage-park/asheville,Home Builder,,K.Hovnanian Homes,Jackson-Township,OH,Asheville,,44646,Jackson-Township,"399,990",09/05/2024 10:34:28 PM
2431,Hovnanian,https://www.khov.com/find-new-homes/ohio/jackson-township/44646/k-hovnanian-homes/heritage-park/boise,Home Builder,,K.Hovnanian Homes,Jackson-Township,OH,Boise,,44646,Jackson-Township,"422,990",09/05/2024 10:34:28 PM
4988,Hovnanian,https://www.khov.com/find-new-homes/ohio/jackson-township/44646/k-hovnanian-homes/heritage-park/tacoma,Home Builder,,K.Hovnanian Homes,Jackson-Township,OH,Tacoma,,44646,Jackson-Township,"438,990",09/05/2024 10:34:28 PM
4544,Hovnanian,https://www.khov.com/find-new-homes/ohio/jackson-township/44646/k-hovnanian-homes/heritage-park/pasadena,Home Builder,,K.Hovnanian Homes,Jackson-Township,OH,Pasadena,,44646,Jackson-Township,"447,990",09/05/2024 10:34:28 PM
3846,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/pasadena,Home Builder,,K.Hovnanian Homes,Sherman,TX,Pasadena,,75092,Sherman,"397,900",09/05/2024 10:34:28 PM
4088,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/asheville,Home Builder,,K.Hovnanian Homes,Sherman,TX,Asheville,,75092,Sherman,"364,900",09/05/2024 10:34:28 PM
3028,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/boise,Home Builder,,K.Hovnanian Homes,Sherman,TX,Boise,,75092,Sherman,"377,900",09/05/2024 10:34:28 PM
2567,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/santa-fe,Home Builder,,K.Hovnanian Homes,Sherman,TX,Santa Fe,,75092,Sherman,"467,900",09/05/2024 10:34:28 PM
1626,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/omaha,Home Builder,,K.Hovnanian Homes,Sherman,TX,Omaha,,75092,Sherman,"429,900",09/05/2024 10:34:28 PM
2662,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/tacoma-ii,Home Builder,,K.Hovnanian Homes,Sherman,TX,Tacoma II,,75092,Sherman,"403,900",09/05/2024 10:34:28 PM
7940,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/evora-ii,Home Builder,,K.Hovnanian Homes,Sherman,TX,Evora II,,75092,Sherman,"397,900",09/05/2024 10:34:28 PM
3527,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch/kiel-ii,Home Builder,,K.Hovnanian Homes,Sherman,TX,Kiel II,,75092,Sherman,"422,900",09/05/2024 10:34:28 PM
